Bedrijf;E-mail;Contact;Adres;Post;Gemeente;Telefoon;Standnr;Sector;groen;geel;rood;blauw
2TP NV;Cindy.vandenhoecke@tothepoint.company;Cindy Van den Hoecke;Veldkantˇ33A;2550;Kontich;0471 88 37 55;38;"ToThePoint designs state-of-the-art architectures and ensures end to end backend and frontend implementation, as well as deployment on premise or in a cloud environment. We do all this while staying true to our technology-agnostic approach and our adagio ?Who needs a job when you can have a paying hobby?

ToThePoint: we develop stuff
OneDot: we make stuff beautiful
OnTheSpot: we shoot stuff in the cloud";FALSE;TRUE;FALSE;TRUE
3-it bvba;hr@3-it.be;Anouk Bechtold;Nijverheidsstraat ˇ48B;2260;Oevel;014 23 56 00;7;"Wie zijn we? Al sinds 2007 ondersteunt 3-it kmo?s, ondernemers en organisaties in hun complete IT-behoefte. Je kan 3-it samenvatten in drie pijlers die omvatten wie we zijn en waar we voor staan: 
?	Consultancy, advies en beheer
?	Innovatieve technologieân 
?	Opleidingen, recrutering en stages 

Ben jij een IT-talent? Stop! Bij ons vinden gemotiveerde IT?ers een incubator voor hun talenten. Ontwikkeling en opleiding? Die staan bij ons centraal. Wij levelen niet alleen ondernemingen een niveau hoger, maar begeleiden ook onze mensen naar hun volgende stap.";FALSE;FALSE;FALSE;TRUE
3P NV;info@3P.eu;Xavier Vandiepenbeeck;De Villermontstraat 8;2550;Kontich;03 294 30 51;9;3P is een jonge middelgrote onderneming met vestigingen in Antwerpen, Kontich en Rijsel (Fr), en actief in softwareontwikkeling voor overheidsinstellingen. Onze kernactiviteit is procurement software voor de overheid, waarin we met voorsprong marktleider zijn in Belgiâ en in volle groei in Frankrijk. 3P heeft een jarenlange traditie om kwalitatieve software te leveren tegen aantrekkelijke prijzen en een uitstekende service te bieden aan onze veeleisende klanten. Onze bedrijfscultuur is jong en ambitieus, en wij werven steeds alleen de meest talentrijke profielen aan teneinde te kunnen voldoen aan de hoge verwachtingen van onze klanten.;FALSE;FALSE;FALSE;TRUE
A Concept City;info@a-interim.be;Marc Brackmans;Noorderlaan 50;2060;Antwerpen;03 369 60 30;62;"A-Concept Interim

A concept interim wil met zijn klanten (bedrijven alsook uitzendkrachten) een lange termijnrelatie opbouwen en met een kwalitatief doorgedreven service op een conceptuele manier een persoonlijke aanpak garanderen.
Meer dan alleen een uitzendjob, maar kijken naar de noden onze uitzendkracht, via uitgebreide infosessies, testing, opleiding, begeleiding en evaluaties om zo de beste invulling van een interimjob aan te bieden.  Met een overzichtelijk win win win resultaat.  Daarnaast zijn we gespecialiseerd in studentenjobs bij onze klanten en ook voor events.";TRUE;TRUE;TRUE;TRUE
ABETEC architecten & ingenieurs nv;rvandamme@abetec.be;Roseline Van Damme;Poldergotestraat 1;9240;Zele;052 33 85 00;11;"ABETEC architecten & ingenieurs is een multidisciplinair studiebureau, actief in de bouwsector en dit zowel in binnen- als buitenland. Ons team van 80 specialisten is gevestigd in een gloednieuw duurzaam gebouw vlak aan de afrit van de E17 te Zele.
Wij staan in voor zowel ontwerp van architectuur, stabiliteit, technieken als voor EPB, veiligheid en projectleiding. Een uitdagende job waar je zowel horizontaal als verticaal kan groeien en opgeleid wordt, mÇt respect voor de work-life balance.";FALSE;FALSE;TRUE;FALSE
ABVV-BBTK-AC;ndeboer@bbtk-abvv.be;Nancy De Boer;Van Arteveldestraat 9-11;2060;Antwerpen;03 220 69 00;8;Bij het ABVV kan je terecht met al je vragen die te maken hebben met de overstap van school naar arbeidsmarkt. Je kan hiervoor een afspraak maken met een jongerenmedewerker in een ABVV kantoor bij jou in de buurt. Ook als je aan het werk bent luisteren we naar je en komen we voor je op. De beroepscentrales BBTK & AC vertegenwoordigen werkende leden binnen het ABVV in diverse sectoren. Ze komen op voor je rechten wanneer je al aan het werk bent.;TRUE;TRUE;TRUE;TRUE
Acco Group;kirsten.coeck@accogroup.be;Kirsten Coeck;Prins Boudewijnlaanˇ177-179;2610;Wilrijk;03 448 00 55;10;ACCO Group is een ambitieus accountantskantoor, waar een 30-tal enthousiaste, no nonsense Accodianen op jou zitten te wachten. Samen bouwen we aan een ?future proof? accountantskantoor met 1 doel voor ogen: het ondersteunen van onze klant in al zijn financiâle en administratieve aspecten! Hierin zijn we zo sterk, dat we blijven groeien en op zoek zijn naar jou!;TRUE;FALSE;FALSE;FALSE
Accountemps;antwerp@accountemps.be;Sharon Gabriel;Jan Van Gentstraat 1 bus 301;2000;Antwerpen;03 257 22 22;65;Accountemps maakt deel uit van de groep Robert Half en is wereldwijd marktleider in het plaatsen van gespecialiseerde boekhoudkundige en financiâle uitzendkrachten. Bij Accountemps hebben we verschillende uitdagende startersfuncties die in de lijn liggen van je capaciteiten en wensen. Accountemps heeft doorlopend boeiende functies voor dynamische hulpboekhouders, junior accountants en dossierbeheerders, credit controllers, junior financieel analisten?;TRUE;FALSE;FALSE;FALSE
Acerta;annelien.tielens@acerta.be;Annelien Tielens;Diestsepoortˇ1;3000;Leuven;016 24 51 01;12;Acerta is een HR-dienstengroep die gelooft in de kracht van mensen. Met de talenten, de kennis en het enthousiasme van onze 1410 medewerkers verspreid over heel Belgiâ begeleiden we onze klanten in hun groei, met respect voor hun eigenheid en autonomie. Deze klanten zijn starters, zelfstandigen, vrije beroepers, boekhouders en accountants, kmo?s en grote ondernemingen in verschillende sectoren.;TRUE;FALSE;FALSE;FALSE
Actief Interim;actief.boom@actief.be;Danielle Faes;Antwerpsestraatˇ55;2850;Boom;03 450 81 70;13;Actief Interim is een ervaren HR-partner voor interim, construct en dienstencheques. Actief zette haar eerste stappen op de Belgische uitzendmarkt in 1988 en groeide inmiddels uit tot een internationaal sterke uitzendgroep, ook actief in Nederland, Duitsland en Oostenrijk. Met meer dan 70 kantoren in Belgiâ is het ons doel om dichtbij onze kandidaten en klanten aanwezig te zijn. Wij houden van een persoonlijke aanpak en gaan nooit voor minder dan topkwaliteit in onze service.;TRUE;TRUE;TRUE;TRUE
Adecco Experts;Yamina,taibi@adecco.be;Yamina Taibi;Posthovelei;2600;Berchem;03 600 15 92 of 0478 48 39 10;15;"Adecco Experts is gespecialiseerd in het plaatsen van gekwalificeerde bedienden vanaf Bachelor niveau. Onze consultants zijn specialist/expert in hun segment; 

LOGISTIC professionals - Logistieke bedienden | Douane declaranten | Dispatchers | Supply chain | Logistic Managers | Expediteurs
FINANCE professionals - Accountants | Boekhouders A-Z | Controllers | Analisten | Leveranciersboekhouding
SALES  professionals - Meertalige Customer Service Agents | Inside Sales Agents | (Key) Account Managers | Sales Managers |Marketing specialisten 
AANKOOP professionals ? Sourcing | tactical buyers | strategic buyers
HR professionals - Payroll administrators | Recruiters | Generalists | Hr Officers | Hr Business Partners
GENERAL Assistants - Personal Assistants | Marketing Assistants | Sales Assistants | Administration Assistants | Purchase Assistants
MARKETING professionals ? Business Intelligence Analyst | Webmarketeer | Marketing coordinator | ?.
LEGAL professionals ? Notarieel medewerker | Bedrijfsjurist | Dossierbeheerder |
Dankzij onze ? END TO END? aanpak leren we de kandidaat graag persoonlijk kennen! Ook worden de kandidaten van de eerste tot de laatste stap begeleid.";FALSE;FALSE;FALSE;FALSE
Aertssen NV;annelore.vermeiren@aertssen.be;Annelore Vermeiren;Laageind ˇ91;2940;Stabroek;03 651 00 33;14;Aertssen is al meer dan 60 jaar de specialist in Belgiâ op gebied van infra-structuurwerken, uitzonderlijk transport en hijswerken. Opgedeeld in drie divisies, Aannemingsbedrijf Aertssen, Aertssen Kranen en Aertssen Transport & Logistiek, verzorgen wij de meest uiteenlopende projecten. Naast onze activiteiten in Belgiâ zijn wij sinds een tiental jaar ook een vaste waarde in het Midden Oosten. Dankzij ons hoogtechnologisch machinepark en 600 gespecialiseerde medewerkers zijn wij in staat steeds een optimale service te bieden.;TRUE;FALSE;TRUE;TRUE
AG Insurance;natacha.jevtic@hotmail.com;Jevtic Natacha;Emile Jacqmainlaan ˇ53;1000;Brussel;02 664 13 54;16;"Met 21,7 % marktaandeel in 2017 is AG Insurance de 1e verzekeringsmaatschappij in Belgiâ. Onze hoofdzetel bevindt zich in Brussel. Ons aandeelhouderschap is verdeeld tussen Ageas (75 %) en BNP Paribas Fortis (25 %). We verdelen onze producten en diensten via verschillende kanalen (onafhankelijke verzekeringsmakelaars en Fintro agenten, BNP Paribas Fortis en bpost bank). Meer dan 3 miljoen particuliere klanten en 200.000 bedrijven schenken ons hun vertrouwen. Sinds 8 jaar bekroont het onafhankelijk onderzoeksbureau ICMA ons jaarlijks met het label ""beste algemene verzekeraar in Belgiâ"". Deze erkenning hebben we te danken aan de dagelijkse inzet van onze 4.000 medewerkers. Wil je graag deel uitmaken van dit team en word jij ÇÇn van onze collega?s? Raadpleeg op jobs.aginsurance.be.

?     We bieden je een toffe werksfeer in een enthousiast en dynamisch team.
?     Bovendien krijg je bij AG Insurance de kans om jezelf voortdurend te ontwikkelen, met een brede waaier aan opleidingen. Ideaal om al de vaardigheden te leren die jou kunnen helpen om je carriäre verder uit te bouwen. 
?     Bij AG Insurance krijg je meer dan een job, we bieden je een hele carriäre. Wil je na verloop van tijd van iets anders proeven? We begeleiden je en stimuleren je om al je talenten ten volle te benutten.
?     Vroeg starten, laat starten, af en toe thuis werken? Het kan allemaal! We bieden je de nodige flexibiliteit (en een mooi aantal verlofdagen) zodat je een goed evenwicht kan vinden tussen werk en privÇ. 
?     Natuurlijk tellen de centen ook mee. Daarom krijg je een aantrekkelijk loonpakket met mooie voordelen.
?     Ten slotte bieden we je stabiliteit Çn dynamiek. Je gaat namelijk aan de slag bij de marktleider in de verzekeringssector, maar we streven er ook voortdurend naar om onze klanten nog beter te ondersteunen. En daarvoor rekenen we op jou.";TRUE;FALSE;FALSE;TRUE
